x_original,nm,cm^-1,intensity
918.85,933.61,2023.59,32763.00
918.79,933.56,2022.98,33089.00
918.74,933.51,2022.37,30634.00
918.69,933.45,2021.76,29167.00
918.64,933.40,2021.16,25198.00
918.59,933.35,2020.55,31711.00
918.53,933.29,2019.94,36907.00
918.48,933.24,2019.33,29760.00
918.43,933.19,2018.72,31655.00
918.38,933.13,2018.11,34428.00
918.33,933.08,2017.50,31200.00
918.27,933.03,2016.89,36445.00
918.22,932.97,2016.28,33486.00
918.17,932.92,2015.67,32247.00
918.12,932.87,2015.06,28024.00
918.06,932.81,2014.45,33887.00
918.01,932.76,2013.84,27433.00
917.96,932.71,2013.23,24703.00
917.91,932.66,2012.62,31228.00
917.86,932.60,2012.01,30077.00
917.80,932.55,2011.40,34595.00
917.75,932.50,2010.79,31402.00
917.70,932.44,2010.18,29852.00
917.65,932.39,2009.57,34055.00
917.60,932.34,2008.96,32779.00
917.54,932.28,2008.35,31724.00
917.49,932.23,2007.74,32217.00
917.44,932.18,2007.13,30076.00
917.39,932.12,2006.52,28597.00
917.34,932.07,2005.91,33385.00
917.28,932.02,2005.30,35334.00
917.23,931.96,2004.69,29118.00
917.18,931.91,2004.08,29615.00
917.13,931.86,2003.47,33113.00
917.07,931.80,2002.86,26987.00
917.02,931.75,2002.25,34535.00
916.97,931.70,2001.64,31582.00
916.92,931.65,2001.03,32256.00
916.87,931.59,2000.41,37414.00
916.81,931.54,1999.80,33186.00
916.76,931.49,1999.19,27664.00
916.71,931.43,1998.58,30981.00
916.66,931.38,1997.97,29196.00
916.61,931.33,1997.36,27568.00
916.55,931.27,1996.75,32707.00
916.50,931.22,1996.13,34314.00
916.45,931.17,1995.52,34845.00
916.40,931.11,1994.91,32356.00
916.35,931.06,1994.30,36423.00
916.29,931.01,1993.69,30356.00
916.24,930.95,1993.07,33626.00
916.19,930.90,1992.46,31365.00
916.14,930.85,1991.85,35577.00
916.08,930.79,1991.24,30277.00
916.03,930.74,1990.63,31806.00
915.98,930.69,1990.01,31290.00
915.93,930.63,1989.40,35617.00
915.88,930.58,1988.79,33145.00
915.82,930.53,1988.18,27921.00
915.77,930.48,1987.56,34689.00
915.72,930.42,1986.95,33268.00
915.67,930.37,1986.34,30232.00
915.62,930.32,1985.72,32459.00
915.56,930.26,1985.11,31308.00
915.51,930.21,1984.50,27647.00
915.46,930.16,1983.89,29424.00
915.41,930.10,1983.27,34072.00
915.36,930.05,1982.66,28739.00
915.30,930.00,1982.05,28489.00
915.25,929.94,1981.43,30839.00
915.20,929.89,1980.82,31858.00
915.15,929.84,1980.21,29790.00
915.10,929.78,1979.59,34419.00
915.04,929.73,1978.98,30350.00
914.99,929.68,1978.37,31830.00
914.94,929.62,1977.75,34388.00
914.89,929.57,1977.14,32810.00
914.83,929.52,1976.52,37116.00
914.78,929.47,1975.91,31003.00
914.73,929.41,1975.30,32702.00
914.68,929.36,1974.68,30173.00
914.63,929.31,1974.07,31489.00
914.57,929.25,1973.45,37984.00
914.52,929.20,1972.84,28970.00
914.47,929.15,1972.22,32527.00
914.42,929.09,1971.61,33525.00
914.37,929.04,1971.00,33454.00
914.31,928.99,1970.38,34079.00
914.26,928.93,1969.77,32673.00
914.21,928.88,1969.15,32753.00
914.16,928.83,1968.54,35712.00
914.11,928.77,1967.92,30410.00
914.05,928.72,1967.31,34298.00
914.00,928.67,1966.69,32096.00
913.95,928.61,1966.08,32508.00
913.90,928.56,1965.46,31283.00
913.84,928.51,1964.85,37702.00
913.79,928.45,1964.23,33430.00
913.74,928.40,1963.62,31182.00
913.69,928.35,1963.00,33761.00
913.64,928.30,1962.38,37636.00
913.58,928.24,1961.77,35780.00
913.53,928.19,1961.15,29327.00
913.48,928.14,1960.54,36172.00
913.43,928.08,1959.92,28591.00
913.38,928.03,1959.31,38263.00
913.32,927.98,1958.69,34665.00
913.27,927.92,1958.07,34445.00
913.22,927.87,1957.46,33250.00
913.17,927.82,1956.84,30351.00
913.12,927.76,1956.22,32797.00
913.06,927.71,1955.61,33115.00
913.01,927.66,1954.99,41964.00
912.96,927.60,1954.38,34610.00
912.91,927.55,1953.76,26969.00
912.85,927.50,1953.14,33662.00
912.80,927.44,1952.53,35478.00
912.75,927.39,1951.91,29422.00
912.70,927.34,1951.29,31292.00
912.65,927.29,1950.68,29554.00
912.59,927.23,1950.06,31649.00
912.54,927.18,1949.44,36847.00
912.49,927.13,1948.82,38982.00
912.44,927.07,1948.21,31454.00
912.39,927.02,1947.59,40684.00
912.33,926.97,1946.97,28409.00
912.28,926.91,1946.36,30486.00
912.23,926.86,1945.74,33626.00
912.18,926.81,1945.12,32251.00
912.13,926.75,1944.50,32208.00
912.07,926.70,1943.89,31319.00
912.02,926.65,1943.27,31513.00
911.97,926.59,1942.65,35121.00
911.92,926.54,1942.03,38682.00
911.87,926.49,1941.41,35116.00
911.81,926.43,1940.80,31450.00
911.76,926.38,1940.18,30116.00
911.71,926.33,1939.56,30476.00
911.66,926.27,1938.94,32403.00
911.60,926.22,1938.32,35475.00
911.55,926.17,1937.70,36532.00
911.50,926.12,1937.09,32370.00
911.45,926.06,1936.47,35960.00
911.40,926.01,1935.85,37525.00
911.34,925.96,1935.23,36618.00
911.29,925.90,1934.61,38987.00
911.24,925.85,1933.99,37389.00
911.19,925.80,1933.37,35017.00
911.14,925.74,1932.76,28067.00
911.08,925.69,1932.14,37418.00
911.03,925.64,1931.52,32099.00
910.98,925.58,1930.90,32920.00
910.93,925.53,1930.28,36672.00
910.88,925.48,1929.66,35063.00
910.82,925.42,1929.04,32345.00
910.77,925.37,1928.42,32879.00
910.72,925.32,1927.80,30745.00
910.67,925.26,1927.18,31783.00
910.61,925.21,1926.56,32750.00
910.56,925.16,1925.94,35547.00
910.51,925.10,1925.32,32429.00
910.46,925.05,1924.70,37076.00
910.41,925.00,1924.08,34903.00
910.35,924.95,1923.46,36015.00
910.30,924.89,1922.84,35730.00
910.25,924.84,1922.22,30491.00
910.20,924.79,1921.60,33926.00
910.15,924.73,1920.98,37607.00
910.09,924.68,1920.36,34972.00
910.04,924.63,1919.74,32282.00
909.99,924.57,1919.12,33950.00
909.94,924.52,1918.50,41088.00
909.89,924.47,1917.88,33896.00
909.83,924.41,1917.26,37991.00
909.78,924.36,1916.64,37270.00
